Time X Y Z ID Radius
4.5 -2.06176e-07 2.55474e-06 -2.09349e-07 2 1.1e-06
4.55 5.12273e-07 4.56323e-06 -1.55813e-07 0 1e-06
4.55 -1.22321e-06 4.03028e-06 -9.20123e-07 1 1e-07
4.55 -2.09627e-07 2.56261e-06 -2.07948e-07 2 1.1e-06
4.6 4.86351e-07 4.57315e-06 -1.79852e-07 0 1e-06
4.6 -1.23546e-06 4.05341e-06 -9.13907e-07 1 1e-07
4.6 -2.09546e-07 2.57703e-06 -2.03121e-07 2 1.1e-06
4.65 5.16367e-07 4.54276e-06 -1.86013e-07 0 1e-06
4.65 -1.2761e-06 4.08474e-06 -9.2469e-07 1 1e-07
4.65 -2.08654e-07 2.55781e-06 -1.99635e-07 2 1.1e-06
4.7 4.87687e-07 4.53877e-06 -2.32126e-07 0 1e-06
4.7 -1.31893e-06 4.11459e-06 -9.3431e-07 1 1e-07
4.7 -2.08609e-07 2.54959e-06 -1.94802e-07 2 1.1e-06
4.75 4.5755e-07 4.55248e-06 -2.27705e-07 0 1e-06
4.75 -1.35913e-06 4.13267e-06 -9.41802e-07 1 1e-07
4.75 -2.17474e-07 2.5508e-06 -1.94529e-07 2 1.1e-06
4.8 4.57252e-07 4.49347e-06 -2.35121e-07 0 1e-06
4.8 -1.36548e-06 4.13282e-06 -9.49574e-07 1 1e-07
4.8 -2.13189e-07 2.53909e-06 -1.94572e-07 2 1.1e-06
4.85 5.18135e-07 4.60746e-06 -2.23813e-07 0 1e-06
4.85 -1.34878e-06 4.11047e-06 -9.40814e-07 1 1e-07
4.85 -2.05341e-07 2.52768e-06 -2.09557e-07 2 1.1e-06
4.9 5.26468e-07 4.56222e-06 -1.9457e-07 0 1e-06
4.9 -1.31573e-06 4.08615e-06 -9.15248e-07 1 1e-07
4.9 -1.92588e-07 2.52059e-06 -2.2963e-07 2 1.1e-06
4.95 4.68961e-07 4.5492e-06 -2.48142e-07 0 1e-06
4.95 -1.26004e-06 4.05635e-06 -9.04185e-07 1 1e-07
4.95 -1.83587e-07 2.51796e-06 -2.32367e-07 2 1.1e-06
5 4.63195e-07 4.49503e-06 -2.18372e-07 0 1e-06
5 -1.20996e-06 4.03985e-06 -8.9597e-07 1 1e-07
5 -1.86395e-07 2.51119e-06 -2.27247e-07 2 1.1e-06
5.05 4.86843e-07 4.60493e-06 -2.29243e-07 0 1e-06
5.05 -1.20224e-06 4.02587e-06 -8.9881e-07 1 1e-07
5.05 -1.94281e-07 2.50391e-06 -2.19611e-07 2 1.1e-06
5.1 4.41806e-07 4.60769e-06 -1.99188e-07 0 1e-06
5.1 -1.23115e-06 4.02879e-06 -9.08868e-07 1 1e-07
5.1 -2.01231e-07 2.50666e-06 -2.06151e-07 2 1.1e-06
5.15 4.83944e-07 4.5832e-06 -1.95828e-07 0 1e-06
5.15 -1.27335e-06 4.02887e-06 -9.29141e-07 1 1e-07
5.15 -2.02169e-07 2.51657e-06 -1.94994e-07 2 1.1e-06
5.2 5.46663e-07 4.64783e-06 -1.45734e-07 0 1e-06
5.2 -1.30302e-06 4.02458e-06 -9.39394e-07 1 1e-07
5.2 -2.0469e-07 2.53145e-06 -1.80986e-07 2 1.1e-06
5.25 5.28998e-07 4.70088e-06 -1.20655e-07 0 1e-06
5.25 -1.31176e-06 4.02853e-06 -9.48202e-07 1 1e-07
5.25 -2.01003e-07 2.55584e-06 -1.64685e-07 2 1.1e-06
5.3 5.34598e-07 4.68023e-06 -1.13013e-07 0 1e-06
5.3 -1.29485e-06 4.03273e-06 -9.42675e-07 1 1e-07
5.3 -1.95636e-07 2.58875e-06 -1.48425e-07 2 1.1e-06
5.35 5.05857e-07 4.73954e-06 -1.40303e-07 0 1e-06
5.35 -1.26407e-06 4.0338e-06 -9.15932e-07 1 1e-07
5.35 -1.82875e-07 2.62048e-06 -1.19493e-07 2 1.1e-06
5.4 4.88163e-07 4.75671e-06 -1.24985e-07 0 1e-06
5.4 -1.2328e-06 4.05664e-06 -8.93325e-07 1 1e-07
5.4 -1.79398e-07 2.66302e-06 -9.57875e-08 2 1.1e-06
5.45 4.4331e-07 4.75766e-06 -5.70105e-08 0 1e-06
5.45 -1.20313e-06 4.10249e-06 -8.96186e-07 1 1e-07
5.45 -1.62485e-07 2.70035e-06 -8.67357e-08 2 1.1e-06
5.5 4.39518e-07 4.79784e-06 -6.34508e-08 0 1e-06
5.5 -1.17138e-06 4.16517e-06 -9.10608e-07 1 1e-07
