Time X Y Z ID Radius Species
1.95 -2.74911e-06 -1.09534e-05 -2.26148e-06 2 1e-06 0
1.95 -3.27341e-06 -1.13836e-05 -4.17461e-06 3 1e-06 0
1.95 -1.39067e-06 -1.08767e-05 -4.74658e-06 4 1e-06 0
1.95 4.29411e-08 -1.12324e-05 -3.08037e-06 5 1e-06 0
1.95 -8.27678e-07 6.00289e-06 -4.85622e-06 6 1e-06 0
1.95 -6.90186e-07 3.78114e-06 -4.66898e-06 7 1e-06 0
2 -7.6277e-07 -7.5273e-06 -3.30002e-06 0 1e-06 0
2 -1.53199e-06 -9.17885e-06 -2.16288e-06 1 1e-06 0
2 -2.74833e-06 -1.09226e-05 -2.26626e-06 2 1e-06 0
2 -3.28722e-06 -1.14052e-05 -4.14094e-06 3 1e-06 0
2 -1.35377e-06 -1.08695e-05 -4.7499e-06 4 1e-06 0
2 2.1515e-08 -1.12329e-05 -3.10929e-06 5 1e-06 0
2 -8.16737e-07 5.96033e-06 -4.85121e-06 6 1e-06 0
2 -6.86058e-07 3.85239e-06 -4.67232e-06 7 1e-06 0
2.05 -7.63701e-07 -7.54957e-06 -3.27341e-06 0 1e-06 0
2.05 -1.53975e-06 -9.21154e-06 -2.18173e-06 1 1e-06 0
2.05 -2.75053e-06 -1.08929e-05 -2.27479e-06 2 1e-06 0
2.05 -3.29878e-06 -1.14209e-05 -4.1142e-06 3 1e-06 0
2.05 -1.31701e-06 -1.08636e-05 -4.74907e-06 4 1e-06 0
2.05 1.41603e-09 -1.12341e-05 -3.13691e-06 5 1e-06 0
2.05 -8.10652e-07 5.92398e-06 -4.84946e-06 6 1e-06 0
2.05 -6.82994e-07 3.91964e-06 -4.67968e-06 7 1e-06 0
2.1 -7.64908e-07 -7.56653e-06 -3.24245e-06 0 1e-06 0
2.1 -1.54652e-06 -9.2348e-06 -2.19934e-06 1 1e-06 0
2.1 -2.74479e-06 -1.08572e-05 -2.26875e-06 2 1e-06 0
2.1 -3.30297e-06 -1.1431e-05 -4.09629e-06 3 1e-06 0
2.1 -1.28499e-06 -1.08525e-05 -4.74712e-06 4 1e-06 0
2.1 -2.01078e-08 -1.12329e-05 -3.1649e-06 5 1e-06 0
2.1 -8.06963e-07 5.8901e-06 -4.84712e-06 6 1e-06 0
2.1 -6.75553e-07 3.96792e-06 -4.67981e-06 7 1e-06 0
2.15 -7.67762e-07 -7.58143e-06 -3.22293e-06 0 1e-06 0
2.15 -1.54525e-06 -9.25303e-06 -2.2149e-06 1 1e-06 0
2.15 -2.73717e-06 -1.08255e-05 -2.24515e-06 2 1e-06 0
2.15 -3.30028e-06 -1.14348e-05 -4.09275e-06 3 1e-06 0
2.15 -1.26155e-06 -1.0842e-05 -4.74346e-06 4 1e-06 0
2.15 -4.10748e-08 -1.12317e-05 -3.19462e-06 5 1e-06 0
2.15 -8.04521e-07 5.8714e-06 -4.85261e-06 6 1e-06 0
2.15 -6.66838e-07 3.99737e-06 -4.68131e-06 7 1e-06 0
2.2 -7.7456e-07 -7.59419e-06 -3.20651e-06 0 1e-06 0
2.2 -1.53659e-06 -9.25416e-06 -2.2315e-06 1 1e-06 0
2.2 -2.73826e-06 -1.08046e-05 -2.22413e-06 2 1e-06 0
2.2 -3.29563e-06 -1.14358e-05 -4.08889e-06 3 1e-06 0
2.2 -1.24569e-06 -1.08298e-05 -4.74004e-06 4 1e-06 0
